metric,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15
phase,P0,P0,P0,P0,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3
new_pilot_logos_signed,1,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2
paying_logos_cumulative,0,0,0,0,1,1,2,3,4,5,6,7,9,11,13,15
avg_seats_per_logo,0,0,0,0,300,300,320,330,330,340,340,340,350,350,350,350
seat_price_usd,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
institutional_mrr_usd,0,0,0,0,6000,6000,12800,19800,26400,34000,40800,47600,63000,77000,91000,105000
self_serve_subs_cumulative,0,0,5,10,20,30,45,60,80,100,130,160,200,240,280,320
self_serve_mrr_usd,0,0,100,200,400,600,900,1200,1600,2000,2600,3200,4000,4800,5600,6400
total_mrr_usd,0,0,100,200,6400,6600,13700,21000,28000,36000,43400,50800,67000,81800,96600,111400
logo_churn_count,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
nrr_percent,0,0,0,0,100,100,105,108,108,110,110,112,112,114,114,115
cac_per_logo_usd,0,0,0,0,1500,1500,1800,2000,2500,3000,3500,4000,4500,5000,5500,6000
ltv_per_logo_usd,0,0,0,0,576000,576000,614400,633600,633600,652800,652800,652800,672000,672000,672000,672000
ltv_to_cac_ratio,0,0,0,0,384,384,341,317,253,218,187,163,149,134,122,112
tools_and_cogs_usd,500,500,600,700,900,1000,1200,1400,1800,2200,2600,3000,3600,4200,4800,5400
intern_stipends_usd,0,0,500,500,1000,1000,2000,2000,3000,3000,4000,4000,5000,5000,6000,6000
total_burn_usd,500,500,1100,1200,1900,2000,3200,3400,4800,5200,6600,7000,8600,9200,10800,11400
cash_balance_usd,25000,24500,23400,22200,20300,18300,165100,161700,156900,151700,145100,138100,129500,120300,109500,98100
runway_months,50,49,21,18,11,9,52,48,33,29,22,20,15,13,10,9
